Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Mkt-RF
196709,   3.13,   4.98,   3.08,   4.21,   8.36,   1.20,   2.27,   2.89,  -0.09,   1.35,0.0311
196710,  -2.66,  -4.88,  -4.44,  -0.99,   4.80,  -3.49,   0.67,  -5.01,  -5.36,  -5.23,-0.0313
196711,   0.56,  -0.69,   0.67,   0.78,   1.37,   0.09,   0.81,   1.33,   3.17,  -0.40,0.0043
196712,   3.20,   0.88,   5.21,   3.09,   2.19,   0.13,   3.44,   1.62,   3.28,   5.49,0.0304
196801,  -0.58,  -5.16,  -6.47,  -0.89,  -8.69,   2.69,   1.12,  -6.57,   0.20,  -1.84,-0.0403
196802,  -2.67,  -2.31,  -4.28,  -2.65,  -4.55,  -2.40,  -0.78,  -4.24,  -1.48,  -3.56,-0.0375
196803,   0.74,   0.52,   0.79,   0.76,   4.16,  -1.12,   2.89,   0.10,  -3.93,  -0.09,0.0013
196804,  11.09,  12.01,  10.64,   5.68,  12.38,   2.22,  12.34,  11.90,   2.49,  12.10,0.0898
196805,   5.02,  -0.37,   3.17,   1.26,   3.81,  -0.74,   3.50,   3.34,   0.45,   6.25,0.0225
196806,   1.19,  -1.65,  -0.28,   1.81,  -2.00,   4.15,   0.41,   2.25,   8.44,   2.99,0.0072
196807,  -3.90,  -2.85,  -4.29,   5.28,  -5.60,  -0.19,  -5.07,  -4.10,   0.17,  -2.76,-0.0268
196808,   2.81,   1.16,   3.28,   1.28,   0.53,   1.26,   2.25,   0.68,  -0.87,   2.82,0.0138
196809,   4.86,   6.87,   4.51,   3.53,   2.95,   2.95,   7.88,   0.85,   0.27,   9.17,0.0402
196810,   0.87,   4.70,   0.94,   2.55,  -4.99,   3.17,   0.74,  -0.05,   0.49,   1.10,0.0046
196811,   4.66,  -0.42,   5.81,   5.56,   8.62,   5.39,   5.09,   8.10,   8.79,   7.63,0.0543
