Month,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other,US
196511,"1,12","-4,03","1,39","0,71","2,73","-4,32","1,36","3,8",-1,"3,88","-0,02"
196512,"1,24","1,23","3,25","0,17","-1,54","-0,86","1,33","3,83","-0,31","3,47","0,99"
196601,"1,92","0,49","2,89","1,04","1,35","-1,3","-4,37","2,74","-3,02","5,25","0,69"
196602,"-0,47","-1,5","-0,73","-3,47","5,03","0,48","-1,87","-1,55","-4,17","2,09","-1,25"
196603,"-2,68","-3,06","-1,79","-2,23","-0,9","-4,84","-2,14","-1,6","-0,14","-2,84","-2,51"
196604,"0,43","0,11","2,79","3,13","7,65","1,26","3,07","-0,02","1,19","3,04","2,1"
196605,"-4,91","-8,11","-5,61","-3,74","-6,05","-2,98","-2,86","-5,26","-2,73","-7,87","-5,58"
196606,"-1,82","-2,11","-0,98","-2,28","-0,13","0,49","-2,37","0,99","-1,78","0,74","-1,48"
196607,"-1,21","-2,44","-1,51","0,4","-1,76","-1,17","-1,97","-1,72","-0,18","-2,05","-1,62"
196608,"-7,11","-7,47","-7,92","-6,36","-5,98","-4,6","-6,41","-8,07","-8,59","-11,75","-7,9"
196609,"-1,48","-1,04","-3,6","3,94","-1,9","-0,57","-1,96","-1,13","4,36","-1,86","-1,06"
196610,"4,5","0,57","2,5","8,47","0,3","9,19","-1,43","4,87","9,94","3,12","3,92"
196611,"2,33","-3,51","2,69","-1,14","10,88","-2,84","0,73","6,89","-1,36","7,95","1,34"
196612,"0,22","-2,61","1,37","-0,66","0,41","2,98","-4,09","-0,17","2,1","2,09","0,12"
196701,"9,42","12,19","11,19","3,59","10,2","6,23","11,81","6,41","2,84","11,97","8,08"
196702,2,"-1,01","1,19","-0,07","6,17","2,15","3,2","1,42","-1,72","-0,24","0,72"
196703,"4,45","4,27","5,76","3,61","5,44","2,94","2,39","7,83","1,53","4,18","3,97"
196704,"4,59","10,83","3,71","1,67","7,73","0,19","9,18","4,46","1,88","2,22","3,87"
196705,"-2,63","-7,28","-3,64","-2,42","-4,44","-5,67","-4,66","-5,29","-4,11","-1,89","-4,32"
196706,"2,65","1,52","2,09","2,28","6,32","2,72","3,83","5,38","-1,31","3,78","2,34"
196707,"6,03","10,71","5,08","6,92","3,92","-6,62","5,99","3,79","2,33","7,85","4,58"
196708,"-0,84","0,08","-0,48","-1,46","-1,01","-1,25","0,49","0,66","-0,65","-0,31","-0,89"
196709,"3,13","4,98","3,08","4,21","8,36","1,2","2,27","2,89","-0,09","1,35","3,06"
196710,"-2,66","-4,88","-4,44","-0,99","4,8","-3,49","0,67","-5,01","-5,36","-5,23","-3,11"
196711,"0,56","-0,69","0,67","0,78","1,37","0,09","0,81","1,33","3,17","-0,4","0,36"
196712,"3,2","0,88","5,21","3,09","2,19","0,13","3,44","1,62","3,28","5,49","2,97"
196801,"-0,58","-5,16","-6,47","-0,89","-8,69","2,69","1,12","-6,57","0,2","-1,84","-3,91"
196802,"-2,67","-2,31","-4,28","-2,65","-4,55","-2,4","-0,78","-4,24","-1,48","-3,56","-3,57"
196803,"0,74","0,52","0,79","0,76","4,16","-1,12","2,89","0,1","-3,93","-0,09","0,21"
196804,"11,09","12,01","10,64","5,68","12,38","2,22","12,34","11,9","2,49","12,1","8,79"
196805,"5,02","-0,37","3,17","1,26","3,81","-0,74","3,5","3,34","0,45","6,25","2,15"
196806,"1,19","-1,65","-0,28","1,81",-2,"4,15","0,41","2,25","8,44","2,99","0,78"
196807,"-3,9","-2,85","-4,29","5,28","-5,6","-0,19","-5,07","-4,1","0,17","-2,76","-2,69"
196808,"2,81","1,16","3,28","1,28","0,53","1,26","2,25","0,68","-0,87","2,82","1,41"
196809,"4,86","6,87","4,51","3,53","2,95","2,95","7,88","0,85","0,27","9,17","3,96"
196810,"0,87","4,7","0,94","2,55","-4,99","3,17","0,74","-0,05","0,49","1,1","0,46"
196811,"4,66","-0,42","5,81","5,56","8,62","5,39","5,09","8,1","8,79","7,63","5,49"
196812,"-1,04","-4,42","-3,52","-2,56","-5,37","-6,64","-4,1","-1,03","-2,88","-3,75","-3,94"
196901,"-1,2","-1,87","-0,35","-1,12","-4,68","1,2","-1,04","-0,23","2,41","0,88","-1,31"
196902,"-6,59","-3,37","-5,84","-4,6","-3,58","-3,32","-4,09","-5,14","-5,2","-8,35","-5,6"
196903,"0,76",5,"2,53","7,09","5,46","-0,42","5,14","3,34","-1,29","0,75","2,67"
196904,"1,03","1,3","1,31","-0,35","3,91","7,73","3,71","4,98","1,34","1,81","1,53"
196905,"1,19","-0,02","-0,87","3,69","-1,7","1,06","0,57","1,66","0,02","-1,11","-0,15"
196906,"-7,33","-5,97","-6,8","-9,92","-0,13","-3,98","-5,4","-5,03","-5,74","-10,67","-6,98"
196907,"-6,93",-7,"-5,58","-9,63","-5,42","-4,49","-8,53","-2,73","-2,98","-9,13",-7
196908,5,"3,01","4,12","6,58","7,03","1,66","8,17","9,2","-1,29","9,02","4,68"
196909,"0,26","-0,39","-2,1","-9,63","0,21",-4,"-0,62","2,17","-4,14","-0,74","-3,01"
196910,"8,35","3,87","6,6","-1,06","5,8","3,5","6,7","8,97","8,28","7,93","4,99"
196911,"-2,4","-4,43","-3,57","-4,51","-1,79","1,18","-4,25","0,34","-5,26","-5,54","-3,8"
